mode,depth,first_player,games,o_wins,x_wins,draws,o_win_rate,x_win_rate,first_player_wins,first_player_win_rate,avg_move_count,avg_total_nodes,avg_nodes_per_move,avg_x_nodes_per_move,avg_o_nodes_per_move,avg_total_search_time_s,avg_search_time_s,avg_x_time_s,avg_o_time_s,avg_x_evaluation,avg_o_evaluation,avg_total_cutoffs,avg_total_cache_hits
advanced,1,ai,10,5,5,0,0.5,0.5,5,0.5,8.5,15.0,1.757142857142857,1.9,1.65,0.07102529993280768,0.008122067134162145,0.008650603318431725,0.0076602074981201446,1006270.6666666666,1260852.5,0.0,0.0
advanced,1,human,10,5,5,0,0.5,0.5,5,0.5,8.5,15.0,1.757142857142857,1.65,1.9,0.07408309996826574,0.008405377568810114,0.0076846365054370844,0.009172263986741504,1260852.5,1006270.6666666666,0.0,0.0
advanced,2,ai,10,10,0,0,1.0,0.0,10,1.0,11.4,67.8,5.964848484848485,5.382857142857143,6.458333333333333,0.8247914699371904,0.07259850963075279,0.06839320485546653,0.07618631332443329,-20749.085714285713,1624212.0833333335,13.1,0.0
advanced,2,human,10,0,10,0,0.0,1.0,10,1.0,11.4,67.8,5.964848484848485,6.458333333333333,5.382857142857143,0.4971013500238769,0.043684954244262456,0.04463082750492807,0.04261690314094137,1624212.0833333335,-20749.085714285713,13.1,0.0
advanced,3,ai,10,10,0,0,1.0,0.0,10,1.0,10.6,151.8,14.357575757575756,18.490000000000002,10.93,0.4184978799778037,0.03919284100787752,0.0476371584989829,0.03216352599672973,483.6,3472987.746666667,28.5,0.0
advanced,3,human,10,0,10,0,0.0,1.0,10,1.0,10.6,151.8,14.357575757575756,10.93,18.490000000000002,0.6457590599777177,0.05973745373529241,0.04864298599539325,0.07305878550105263,3472987.746666667,483.6,28.5,0.0
advanced,4,ai,10,10,0,0,1.0,0.0,10,1.0,11.8,361.1,30.45919191919192,33.00857142857143,28.4,1.6551746699726209,0.13527639642282568,0.13564160642330533,0.13546268358525898,-1992401.6685714286,3266432.5100000002,97.9,1.6
advanced,4,human,10,0,10,0,0.0,1.0,10,1.0,11.8,361.1,30.45919191919192,28.4,33.00857142857143,3.190616430051159,0.25666988414601716,0.2675605342509031,0.2445454182946456,3266432.5100000002,-1992401.6685714286,97.9,1.6
advanced,5,ai,10,10,0,0,1.0,0.0,10,1.0,13.2,801.7,60.264444444444436,64.33571428571429,56.942499999999995,4.585230239981319,0.3345570631110523,0.32442521000463914,0.344274558495963,-1751350.8,4438378.7700000005,206.4,5.6
advanced,5,human,10,0,10,0,0.0,1.0,10,1.0,13.2,801.7,60.264444444444436,56.942499999999995,64.33571428571429,3.8887620200403035,0.279699601335451,0.29482945800060406,0.2627896871467653,4438378.7700000005,-1751350.8,206.4,5.6
alphabeta,1,ai,10,8,2,0,0.8,0.2,8,0.8,15.8,44.4,2.808239603533721,3.0,2.6351190476190474,0.01371127002639696,0.0008578598094933995,0.0008911833498305418,0.0008282238742732073,241184.23253968256,996051.8402777778,0.0,0.0
alphabeta,1,human,10,2,8,0,0.2,0.8,8,0.8,15.8,44.4,2.808239603533721,2.6351190476190474,3.0,0.011637799884192645,0.0007327982530290875,0.0006993972930349483,0.0007705063220725158,996051.8402777778,241184.23253968256,0.0,0.0
alphabeta,2,ai,10,8,2,0,0.8,0.2,8,0.8,22.4,218.6,9.706196694019068,10.337941225441226,9.138595848595848,0.07559719993732869,0.0031566839766874314,0.003286568883477748,0.0030407425089898034,-706375.5631901432,595822.3047756411,24.7,0.0
alphabeta,2,human,10,2,8,0,0.2,0.8,8,0.8,22.4,218.6,9.706196694019068,9.138595848595848,10.337941225441226,0.07454132004640997,0.003096094305342438,0.0029952078767641298,0.0032081699827891026,595822.3047756411,-706375.5631901432,24.7,0.0
alphabeta,3,ai,10,7,3,0,0.7,0.3,7,0.7,16.7,433.6,25.722845291962937,28.324880952380955,23.427103174603175,0.09958805001806467,0.005718635742166685,0.006307739027653865,0.005200292385587032,-392256.4447619048,1480007.9295238096,55.0,0.0
alphabeta,3,human,10,3,7,0,0.3,0.7,7,0.7,16.7,433.6,25.722845291962937,23.427103174603175,28.324880952380955,0.10324798006331548,0.005894093973121595,0.005363936410387165,0.006497253811907112,1480007.9295238096,-392256.4447619048,55.0,0.0
alphabeta,4,ai,10,7,3,0,0.7,0.3,7,0.7,18.9,1175.6,61.36978079071919,66.3009126984127,56.94222222222222,0.3117764200083911,0.015735001516555866,0.016517947300264263,0.015026598971194793,-1128967.617222222,915940.53,226.2,0.0
alphabeta,4,human,10,3,7,0,0.3,0.7,7,0.7,18.9,1175.6,61.36978079071919,56.94222222222222,66.3009126984127,0.29893391005462033,0.014937412784719226,0.014257192000319871,0.01569747552700204,915940.53,-1128967.617222222,226.2,0.0
alphabeta,5,ai,10,7,3,0,0.7,0.3,7,0.7,18.1,2377.8,132.08082409775506,140.4342640692641,124.75888888888889,0.9220504999975674,0.05018167252184188,0.05340297559039486,0.047370585557881796,-798022.5215223666,1702774.3936111112,476.2,0.0
alphabeta,5,human,10,3,7,0,0.3,0.7,7,0.7,18.1,2377.8,132.08082409775506,124.75888888888889,140.4342640692641,0.89859877997078,0.0494272201396207,0.0458328457206436,0.053512125780649636,1702774.3936111112,-798022.5215223666,476.2,0.0
minimax,1,ai,10,8,2,0,0.8,0.2,8,0.8,15.8,44.4,2.808239603533721,3.0,2.6351190476190474,0.009932210121769458,0.0006215575675068755,0.00065203440913354,0.0005948162800493827,241184.23253968256,996051.8402777778,0.0,0.0
minimax,1,human,10,2,8,0,0.2,0.8,8,0.8,15.8,44.4,2.808239603533721,2.6351190476190474,3.0,0.012123950012028217,0.0007625136400103649,0.0007216749571694342,0.0008082333576841473,996051.8402777778,241184.23253968256,0.0,0.0
minimax,2,ai,10,8,2,0,0.8,0.2,8,0.8,22.4,252.6,11.207058791798087,11.946923076923076,10.535906593406594,0.06944965003058315,0.0029183861874521847,0.0030321313617736076,0.00281437358380312,-706375.5631901432,595822.3047756411,0.0,0.0
minimax,2,human,10,2,8,0,0.2,0.8,8,0.8,22.4,252.6,11.207058791798087,10.535906593406594,11.946923076923076,0.07354775986168534,0.003093564927214778,0.0030128383769440735,0.0031830009245426513,595822.3047756411,-706375.5631901432,0.0,0.0
minimax,3,ai,10,7,3,0,0.7,0.3,7,0.7,16.7,577.2,34.39258888170653,37.126428571428576,31.930595238095236,0.12919584000483156,0.007488697422877289,0.007986066656428323,0.00704853920685497,-392256.4447619048,1480007.9295238096,0.0,0.0
minimax,3,human,10,3,7,0,0.3,0.7,7,0.7,16.7,577.2,34.39258888170653,31.930595238095236,37.126428571428576,0.1476451099733822,0.008616641376921213,0.008462700493400917,0.008778825935913205,1480007.9295238096,-392256.4447619048,0.0,0.0
minimax,4,ai,10,7,3,0,0.7,0.3,7,0.7,18.9,1929.0,101.39510355503363,109.13142857142857,94.36833333333334,0.48628144004615026,0.024384179517118774,0.025628508659271847,0.023215693750696827,-1128967.617222222,915940.53,0.0,0.0
minimax,4,human,10,3,7,0,0.3,0.7,7,0.7,18.9,1929.0,101.39510355503363,94.36833333333334,109.13142857142857,0.5300725100212731,0.02766177069132762,0.026408426223756075,0.028988814244821987,915940.53,-1128967.617222222,0.0,0.0
minimax,5,ai,10,7,3,0,0.7,0.3,7,0.7,18.1,5281.2,291.84056265984657,312.79550865800866,272.55083333333334,1.262896550016012,0.06887833721557027,0.0741534654121028,0.06409218091443311,-798022.5215223666,1702774.3936111112,0.0,0.0
minimax,5,human,10,3,7,0,0.3,0.7,7,0.7,18.1,5281.2,291.84056265984657,272.55083333333334,312.79550865800866,1.449051959917415,0.07920085592114721,0.07460446472354104,0.08431508029505809,1702774.3936111112,-798022.5215223666,0.0,0.0
